Result,1,2,3,4,5
12345,0.148214285714286,0.172946290274528,0.142347297629364,0.187468273649287,0.123470837087010
12300,0.198346928364292,0.194659283460238,0.192834203947234,0.0,0.0
12000,0.128736462938462,0.982364928364290,0.0,0.0,0.0
02345,0.0,0.183246928346928,0.193746239844382,0.142374692834601,0.123870347283426
12005,0.198402302973012,0.193822364782364,0.0,0.0,0.182734682735723
02300,0.0,0.148376485723547,0.128374528374572,0.0,0.0
10045,0.574928470247392,0.0,0.0,0.643875465934858,0.192464934756345
12300,0.283470347938479,0.347534548953849,0.837594857948579,0.0,0.0
12005,0.684573847503947,0.347584356928347,0.0,0.0,0.598670456849569
00345,0.0,0.0,0.745237465823745,0.233945864598347,0.634576945670404
10345,0.389347534902974,0.0,0.632874634598435,0.194567349583456,0.194853485634957
12305,0.543984659348629,0.834756459827893,0.184578345763847,0.0,0.398457943867540
12340,0.798345983486583,0.447593485290284,0.047934756923746,0.034589234568456,0.0
10045,0.334593845034856,0.0,0.0,0.095793456387456,0.023048734945465
12300,0.134756387469283,0.634857345938457,0.385623964598364,0.0,0.0
10045,0.834765394859386,0.0,0.0,0.939459394893948,0.487569834569384
00045,0.0,0.0,0.0,0.175175751757575,0.456754986476957
12045,0.813475619834659,0.483945743057345,0.0,0.837593457385758,0.049568496875874
12345,0.424872304823644,0.834587345894853,0.192836435874795,0.649349349349349,0.034057965496879
12305,0.393456934829834,0.394857340574859,0.085686384576384,0.0,0.538573469862949
10045,0.613847398456394,0.0,0.0,0.734985347593489,0.645934564958734
12005,0.398982364876287,0.293847394574650,0.0,0.0,0.843694857934856
02305,0.0,0.834756348574586,0.127362834839587,0.0,0.096589834658378
10340,0.239485798456298,0.0,0.598456394856938,0.498567398567948,0.0
12040,0.139485374579237,0.239843593846594,0.0,0.498273405274598,0.0
02040,0.0,0.874658347543858,0.0,0.734598347598857,0.0
10340,0.637465347569828,0.0,0.634875634958345,0.293847305743856,0.0
12040,0.734568002384766,0.048573485768347,0.0,0.020357439583458,0.0
02305,0.0,0.834754398572935,0.532463583457638,0.0,0.698467384593485
10045,0.099823847623874,0.0,0.0,0.084567898437593,0.298346938534959
12300,0.324727346829973,0.837567462384845,0.834563485746583,0.0,0.0
12005,0.634568475692838,0.198456384953456,0.0,0.0,0.648345876492834
12340,0.793457347672638,0.632374634583475,0.834756348576845,0.726345462736458,0.0
12345,0.838382388928374,0.637563457465939,0.438475634985364,0.645834765347563,0.482349385730450
12345,0.272387423942364,0.387387383783837,0.743956438573456,0.123875603485789,0.834762834658482
02345,0.0,0.023874653945639,0.634875634594659,0.023847347563845,0.634756498540242
10340,0.423428374623499,0.0,0.293463475634957,0.745645673084569,0.0
10005,0.593846134834629,0.0,0.0,0.0,0.634956234584569
02300,0.0,0.594563945873498,0.293846394563475,0.0,0.0
10345,0.372364823482364,0.0,0.758674698345634,0.352347534856841,0.075674653475639
12045,0.783234723946283,0.387346594385794,0.0,0.084567456945634,0.293846398564385
12305,0.634875639138658,0.034573746547563,0.394756394564859,0.0,0.543847563948569
12340,0.385437618374563,0.164387564395878,0.423645376348578,0.747526587426823,0.0
02345,0.0,0.088564356349756,0.583576349545767,0.648327649523456,0.584375634593849
10045,0.234568347568234,0.0,0.0,0.273459348573945,0.362364693758374
12005,0.034579183456834,0.345634985734058,0.0,0.0,0.643875346593493
12300,0.134875634875638,0.845968495834650,0.734576247568274,0.0,0.0
10305,0.848756394503478,0.0,0.745764357634858,0.0,0.285692834694569
02045,0.0,0.629103485018483,0.0,0.794568237459458,0.834856837456832
10340,0.334593845273688,0.0,0.654564564576438,0.298346757634599,0.0
00340,0.0,0.0,0.384756495836485,0.045674568476887,0.0
12345,0.893485982364762,0.634573465982082,0.754395634956393,0.543576459285792,0.483747508739495
10045,0.434634756834793,0.0,0.0,0.837569457948579,0.743875643563495
12340,0.877237462938482,0.239482635430856,0.856763459345368,0.643857634587667,0.0
02305,0.0,0.945698456345639,0.324873653489574,0.0,0.176439563847567
10340,0.734756934759383,0.0,0.643954654856394,0.634769526827345,0.0
12040,0.693485986964237,0.076956745364583,0.0,0.484375694568736,0.0
10000,1.0,0.,0.,0.,0.
10005,0.575653879666645,0.,0.,0.,0.723946290274528
12305,0.746592834793284,0.653974694857945,0.765439856345893,0.0,0.843569348569893
00045,0.0,0.0,0.0,0.523874695847850,0.638457439857934
10045,0.245657653657245,0.0,0.0,0.634756438457834,0.398454059203490
12340,0.983274659234659,0.635482346837452,0.273647453458799,0.934853465984568,0.0
00300,0.0,0.0,1.0,0.0,0.0
12000,0.234763594858345,0.981787342764198,0.0,0.0,0.0
10340,0.238746435987234,0.0,0.347654659826348,0.734756487623949,0.0
02345,0.0,0.974018723286340,0.734653756845828,0.423743980456894,0.734956437456834
00305,0.0,0.0,0.648564756936574,0.0,0.384594356435689
12005,0.148214285607286,0.938471014875476,0.0,0.0,0.645463594856834
00040,0.0,0.0,0.0,1.0,0.0
12300,0.678946583746524,0.876487563523742,0.745938454376593,0.0,0.0
02300,0.0,0.288583569376229,0.781291846937468,0.0,0.0
10345,0.134598349586293,0.0,0.847293456294376,0.634853984658302,0.034854576834756
12045,0.349562973456347,0.834756384756938,0.0,0.176324983579268,0.847563945873495
12300,0.234982375385693,0.934593485637465,0.239847397569345,0.0,0.0
